"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","325.882","314.746","307.401","306.318","298.151","300.412","287.654","282.071","277.322","272.968","312.141","869.042","258.742","255.276","260.173","248.421","246.071","244.439","243.154","242.313","242.894","243.127","244.165","244.609","246.511","250.38","250.781","253.353","256.343","258.56","261.069","277.389","264.008","263.947","262.713","260.525","256.815","252.076","246.394","239.571","232.533","225.462","218.712","212.621","207.362","202.65","198.922","196.69","194.201","193.232","192.852","192.405","191.543","190.106","187.013","183.044","178.237","172.886","167.322","161.882","162.579","181.104","144.838","141.409","",
"Bulgaria","BGR","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","165.15","162.382","165.873","159.585","154.409","152.052","155.084","164.444","160.589","169.053","160.03","172.885","172.488","164.402","169.382","177.536","173.445","185.434","184.599","191.124","190.34","188.293","197.349","198.158","202.666","210.854","208.534","206.517","210.212","217.849","219.412","212.446","229.642","240.227","246.715","245.658","238.023","244.071","241.483","222.457","225.005","222.768","218.165","215.846","215.996","219.427","218.686","212.03","208.154","203.75","196.902","194.111","187.916","184.811","190.232","185.528","187.257","183.956","183.928","182.115","206.104","234.351","","","",
"Bahrain","BHR","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","368.43","352.331","336.167","320.157","304.493","289.336","274.822","261.058","248.126","236.083","224.969","214.804","206.162","197.134","189.472","182.499","176.154","170.379","165.356","160.319","155.937","151.932","148.264","144.875","141.7","138.681","135.765","132.904","130.119","127.489","125.094","123.006","121.294","119.948","118.782","117.592","116.182","114.367","112.013","109.219","106.154","102.977","99.822","96.806","93.931","91.116","88.284","85.371","82.324","79.187","76.156","73.405","71.069","69.257","68.026","67.212","66.601","65.988","65.17","63.961","89.162","80.704","57.898","55.266","",
"Bahamas, The","BHS","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","347.855","343.026","337.826","333.728","329.506","325.817","321.094","316.179","311.559","307.093","301.999","297.068","297.182","293.353","286.495","274.042","264.761","259.595","257.687","258.431","259.023","257.306","254.771","252.736","252.133","253.192","254.611","255.394","254.748","253.269","251.782","250.241","250.442","251.572","254.19","257.13","259.317","259.541","256.653","251.612","245.359","239.029","232.807","228.195","225.827","224.011","224.262","225.012","226.484","226.781","226.391","224.434","222.963","220.94","219.856","218.431","216.127","214.973","214.439","224.115","225.316","260.776","208.3","207.906","",
"Bosnia and Herzegovina","BIH","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","252.536","250.263","245.385","245.652","236.503","234.935","228.671","227.311","233.605","237.843","244.52","248.408","242.836","231.727","217.308","211.834","206.383","207.115","211.07","213.303","208.655","204.539","210.51","211.934","212.909","206.478","207.7","208.382","211.085","206.157","208.092","205.598","681.741","711.24","415.492","260.706","183.401","176.689","166.36","158.065","152.516","149.844","146.493","140.139","141.75","143.496","150.56","148.664","146.504","140.16","137.042","133.738","132.696","131.018","129.893","129.05","126.361","120.896","122.765","124.708","137.386","147.443","134.428","119.15","",
"Belarus","BLR","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","204.65","198.56","203.921","199.634","193.62","198.214","198.797","202.68","208.441","216.685","226.439","226.107","230.385","230.297","232.667","248.7","254.896","260.781","265.549","276.726","277.656","279.223","279.032","282.453","298.328","275.577","241.926","246.357","250.118","273.41","281.951","294.245","310.855","343.266","348.399","363.728","358.553","360.641","370.602","375.925","354.094","369.56","383.421","372.783","362.612","369.192","355.849","332.936","334.107","330.003","334.194","336.426","287.27","273.671","261.217","245.384","234.903","227.765","231.323","","","","","","",
"Belize","BLZ","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","290.399","304.975","268.422","261.153","255.16","249.686","246.747","240.49","237.544","233.004","228.302","224.923","221.26","218.595","215.908","213.258","211.19","209.443","208.463","206.589","205.366","203.959","201.852","202.02","198.551","196.379","196.623","195.514","193.936","195.159","197.533","200.873","204.898","210.595","215.344","223.011","231.104","239.858","248.842","252.344","254.428","253.176","247.31","240.984","234.811","229.729","226.67","225.317","225.266","225.221","226.317","226.635","226.376","225.937","225.092","222.867","220.35","217.41","212.994","208.514","221.663","238.215","215.083","190.839","",
"Bermuda","BMU","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","232.471","214.924","210.683","220.038","229.829","234.6","238.68","243.97","251.181","254.264","253.134","242.549","229.704","213.649","204.599","202.744","205.822","205.898","202.688","197.337","196.662","195.983","197.02","195.722","195.181","197.543","200.832","201.63","200.932","197.921","193.39","187.411","183.892","179.9","175.223","167.791","159.279","152.411","146.514","140.311","132.888","125.058","121.247","122.187","124.934","128.211","130.322","127.782","125.065","121.979","119.178","117.357","115.779","113.326","109.796","106.64","103.944","101.253","97.605","94.965","93.696","90.341","86.581","83.797","",
"Bolivia","BOL","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","424.693","422.192","416.993","414.166","411.319","406.536","403.516","398.833","393.373","388.662","385.73","381.729","376.87","371.826","365.451","358.271","349.574","345.272","339.189","333.812","329.337","325.577","325.799","324.903","322.308","319.492","316.261","310.344","305.261","300.238","294.405","289.05","287.971","281.684","279.015","277.906","275.232","273.247","271.509","271.23","270.101","268.663","265.712","263.894","261.655","259.928","257.166","254.761","251.786","248.802","246.321","244.215","241.682","241.053","239.76","237.775","236.315","235.856","234.62","233.892","346.551","396.606","250.367","229.038","",
"Brazil","BRA","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","350.681","347.183","343.791","339.865","336.674","333.433","329.703","325.818","321.107","316.845","312.444","308.034","303.458","299.342","295.43","290.476","285.904","281.373","276.99","273.634","270.409","267.497","264.737","262.048","258.641","254.992","251.363","247.781","245.264","244.378","243.868","243.818","244.167","243.755","241.78","239.567","237.328","235.259","232.781","230.898","229.109","227.021","224.399","221.926","218.643","215.12","211.381","208.863","206.623","204.448","202.356","200.627","197.533","193.843","190.816","185.465","185.917","178.99","173.671","167.856","183.092","220.459","183.793","168.837","",
